Species,Month,Tree,Leaf Orientation,leaf parts,Average_Hg
Ginkgo biloba,04/11/2024,North,South,P1,17.48758689
Ginkgo biloba,04/11/2024,North,South,P2,17.27084054
Ginkgo biloba,04/11/2024,North,South,P3,17.92173252
Ginkgo biloba,04/11/2024,South,North,P1,21.0066681
Ginkgo biloba,04/11/2024,South,North,P2,21.44609991
Ginkgo biloba,04/11/2024,South,North,P3,21.88534279
Ginkgo biloba,04/11/2024,South,South,P1,23.7371134
Ginkgo biloba,04/11/2024,South,South,P2,22.96442688
Ginkgo biloba,04/11/2024,South,South,P3,22.40827846
Ginkgo biloba,31/10/2024,South,North,P1,19.99572832
Ginkgo biloba,31/10/2024,South,North,P2,20.98116298
Ginkgo biloba,31/10/2024,South,North,P3,20.12430487
Ginkgo biloba,31/10/2024,South,South,P1,20.96148104
Ginkgo biloba,31/10/2024,South,South,P2,20.62901155
Ginkgo biloba,31/10/2024,South,South,P3,21.90998902
Ginkgo biloba,31/10/2024,North,North,P1,15.68401224
Ginkgo biloba,31/10/2024,North,North,P2,19.64663516
Ginkgo biloba,31/10/2024,North,North,P3,19.39178915
Ginkgo biloba,31/10/2024,North,South,P1,17.85114922
Ginkgo biloba,31/10/2024,North,South,P2,18.82057231
Ginkgo biloba,31/10/2024,North,South,P3,15.63508639
Ginkgo biloba,21/10/2024,North,North,P1,16.08188976
Ginkgo biloba,21/10/2024,North,North,P2,16.97108503
Ginkgo biloba,21/10/2024,North,North,P3,14.36853841
Ginkgo biloba,21/10/2024,North,South,P1,12.66488753
Ginkgo biloba,21/10/2024,North,South,P2,12.58854684
Ginkgo biloba,21/10/2024,North,South,P3,11.19057548
Ginkgo biloba,21/10/2024,South,North,P1,20.49944506
Ginkgo biloba,21/10/2024,South,North,P2,18.44128329
Ginkgo biloba,21/10/2024,South,North,P3,20.77554486
Ginkgo biloba,21/10/2024,South,South,P1,24.84729064
Ginkgo biloba,21/10/2024,South,South,P2,23.91246684
Ginkgo biloba,21/10/2024,South,South,P3,25.52888889
Ginkgo biloba,14/10/2024,North,North,P1,18.36939722
Ginkgo biloba,14/10/2024,North,North,P2,18.86119257
Ginkgo biloba,14/10/2024,North,North,P3,13.57901726
Ginkgo biloba,14/10/2024,North,South,P1,15.92303402
Ginkgo biloba,14/10/2024,North,South,P2,17.82418953
Ginkgo biloba,14/10/2024,North,South,P3,17.73074475
Ginkgo biloba,14/10/2024,South,North,P1,20.88406736
Ginkgo biloba,14/10/2024,South,North,P2,20.7527881
Ginkgo biloba,14/10/2024,South,North,P3,20.22077554
Ginkgo biloba,14/10/2024,South,South,P1,20.36130536
Ginkgo biloba,14/10/2024,South,South,P2,19.67007964
Ginkgo biloba,14/10/2024,South,South,P3,20.4272668
Ginkgo biloba,07/10/2024,North,North,P1,17.20338983
Ginkgo biloba,07/10/2024,North,North,P2,16.4434365
Ginkgo biloba,07/10/2024,North,North,P3,20.35830619
Ginkgo biloba,07/10/2024,North,South,P1,20.91598023
Ginkgo biloba,07/10/2024,North,South,P2,19.98207243
Ginkgo biloba,07/10/2024,North,South,P3,19.28026692
Ginkgo biloba,07/10/2024,South,North,P1,22.04310813
Ginkgo biloba,07/10/2024,South,North,P2,21.01369863
Ginkgo biloba,07/10/2024,South,North,P3,22.95252226
Ginkgo biloba,07/10/2024,South,South,P1,22.20670391
Ginkgo biloba,07/10/2024,South,South,P2,22.39059968
Ginkgo biloba,07/10/2024,South,South,P3,22.78827178
Ginkgo biloba,30/09/2024,North,North,P1,18.10118476
Ginkgo biloba,30/09/2024,North,North,P2,17.97557365
Ginkgo biloba,30/09/2024,North,North,P3,19.14300876
Ginkgo biloba,30/09/2024,North,South,P1,20.72912251
Ginkgo biloba,30/09/2024,North,South,P2,35.20821449
Ginkgo biloba,30/09/2024,North,South,P3,22.05604321
Ginkgo biloba,30/09/2024,South,North,P1,21.50359315
Ginkgo biloba,30/09/2024,South,North,P2,23.98708162
Ginkgo biloba,30/09/2024,South,North,P3,22.02653248
Ginkgo biloba,30/09/2024,South,South,P1,22.46448425
Ginkgo biloba,30/09/2024,South,South,P2,22.5530303
Ginkgo biloba,30/09/2024,South,South,P3,19.44863336
Ginkgo biloba,24/09/2024,North,North,P1,19.05076741
Ginkgo biloba,24/09/2024,North,North,P2,16.21016365
Ginkgo biloba,24/09/2024,North,North,P3,20.11675006
Ginkgo biloba,24/09/2024,North,South,P1,19.93317132
Ginkgo biloba,24/09/2024,North,South,P2,18.53220697
Ginkgo biloba,24/09/2024,North,South,P3,25.21879715
Ginkgo biloba,24/09/2024,South,North,P1,17.25801706
Ginkgo biloba,24/09/2024,South,North,P2,18.25401828
Ginkgo biloba,24/09/2024,South,North,P3,19.56682028
Ginkgo biloba,24/09/2024,South,South,P1,18.70704467
Ginkgo biloba,24/09/2024,South,South,P2,17.64247443
Ginkgo biloba,24/09/2024,South,South,P3,17.12662338
Ginkgo biloba,16/09/2024,North,North,P1,20.0373778
Ginkgo biloba,16/09/2024,North,North,P2,18.93902009
Ginkgo biloba,16/09/2024,North,North,P3,18.74388753
Ginkgo biloba,16/09/2024,North,South,P1,55.94182825
Ginkgo biloba,16/09/2024,North,South,P2,41.07518797
Ginkgo biloba,16/09/2024,North,South,P3,54.40932438
Ginkgo biloba,16/09/2024,South,North,P1,133.9649552
Ginkgo biloba,16/09/2024,South,North,P2,158.3916424
Ginkgo biloba,16/09/2024,South,North,P3,160.8891289
Ginkgo biloba,16/09/2024,South,South,P1,147.5802343
Ginkgo biloba,16/09/2024,South,South,P2,114.2068565
Ginkgo biloba,16/09/2024,South,South,P3,196.70347
Ginkgo biloba,04/09/2024,North,North,P1,13.44449135
Ginkgo biloba,04/09/2024,North,North,P2,14.33411765
Ginkgo biloba,04/09/2024,North,North,P3,14.24536628
Ginkgo biloba,04/09/2024,North,South,P1,9.661246612
Ginkgo biloba,04/09/2024,North,South,P2,9.051442165
Ginkgo biloba,04/09/2024,North,South,P3,11.92805755
Ginkgo biloba,04/09/2024,South,North,P1,16.61413563
Ginkgo biloba,04/09/2024,South,North,P2,17.38555443
Ginkgo biloba,04/09/2024,South,North,P3,16.53753027
Ginkgo biloba,04/09/2024,South,South,P1,16.578568
Ginkgo biloba,04/09/2024,South,South,P2,17.80150754
Ginkgo biloba,04/09/2024,South,South,P3,17.80185759
Ginkgo biloba,28/08/2024,North,North,P1,27.60154165
Ginkgo biloba,28/08/2024,North,North,P2,14.54061252
Ginkgo biloba,28/08/2024,North,North,P3,14.67391304
Ginkgo biloba,28/08/2024,North,South,P1,18.56608267
Ginkgo biloba,28/08/2024,North,South,P2,22.61332817
Ginkgo biloba,28/08/2024,North,South,P3,16.65084003
Ginkgo biloba,28/08/2024,South,North,P1,16.80972275
Ginkgo biloba,28/08/2024,South,North,P2,16.71768707
Ginkgo biloba,28/08/2024,South,North,P3,16.45791783
Ginkgo biloba,28/08/2024,South,South,P1,16.92080876
Ginkgo biloba,28/08/2024,South,South,P2,17.51471254
Ginkgo biloba,28/08/2024,South,South,P3,19.62172648
Ginkgo biloba,14/08/2024,North,North,P1,13.61717352
Ginkgo biloba,14/08/2024,North,North,P2,12.73825503
Ginkgo biloba,14/08/2024,North,North,P3,13.14830157
Ginkgo biloba,14/08/2024,North,South,P1,9.915662651
Ginkgo biloba,14/08/2024,North,South,P2,9.835205993
Ginkgo biloba,14/08/2024,North,South,P3,12.27057497
Ginkgo biloba,14/08/2024,South,North,P1,13.90483681
Ginkgo biloba,14/08/2024,South,North,P2,12.8785489
Ginkgo biloba,14/08/2024,South,North,P3,14.25633492
Ginkgo biloba,14/08/2024,South,South,P1,10.74161426
Ginkgo biloba,14/08/2024,South,South,P2,11.11111111
Ginkgo biloba,14/08/2024,South,South,P3,12.59147263
Ginkgo biloba,30/07/2024,North,North,P1,14.46626044
Ginkgo biloba,30/07/2024,North,North,P2,14.14714034
Ginkgo biloba,30/07/2024,North,North,P3,14.84618916
Ginkgo biloba,30/07/2024,North,South,P1,10.46296296
Ginkgo biloba,30/07/2024,North,South,P2,9.110132159
Ginkgo biloba,30/07/2024,North,South,P3,11.37625179
Ginkgo biloba,30/07/2024,South,North,P1,12.54716981
Ginkgo biloba,30/07/2024,South,North,P2,13.00050813
Ginkgo biloba,30/07/2024,South,North,P3,14.07153502
Ginkgo biloba,30/07/2024,South,South,P1,18.58674464
Ginkgo biloba,30/07/2024,South,South,P2,17.78450887
Ginkgo biloba,30/07/2024,South,South,P3,19.20946626
Ginkgo biloba,19/07/2024,North,North,P1,11.71740569
Ginkgo biloba,19/07/2024,North,North,P2,10.94509804
Ginkgo biloba,19/07/2024,North,North,P3,11.98987191
Ginkgo biloba,19/07/2024,North,South,P1,9.655315615
Ginkgo biloba,19/07/2024,North,South,P2,8.996282528
Ginkgo biloba,19/07/2024,North,South,P3,9.441964286
Ginkgo biloba,19/07/2024,South,North,P1,10.75760756
Ginkgo biloba,19/07/2024,South,North,P2,9.87654321
Ginkgo biloba,19/07/2024,South,North,P3,14.06026786
Ginkgo biloba,19/07/2024,South,South,P1,9.179743224
Ginkgo biloba,19/07/2024,South,South,P2,8.052256532
Ginkgo biloba,19/07/2024,South,South,P3,10.75903614
Ginkgo biloba,25/04/2025,North,North,P1,13.98713826
Ginkgo biloba,25/04/2025,North,North,P2,12.51046025
Ginkgo biloba,25/04/2025,North,North,P3,14.09240924
Ginkgo biloba,25/04/2025,North,South,P1,10.73684211
Ginkgo biloba,25/04/2025,North,South,P2,10.75757576
Ginkgo biloba,25/04/2025,North,South,P3,13.93162393
Ginkgo biloba,25/04/2025,South,South,P1,13.1277533
Ginkgo biloba,25/04/2025,South,South,P2,12.13114754
Ginkgo biloba,25/04/2025,South,South,P3,10.64356436
Ginkgo biloba,02/05/2025,North,North,P1,7.160633484
Ginkgo biloba,02/05/2025,North,North,P2,10.26262626
Ginkgo biloba,02/05/2025,North,North,P3,8.846657929
Ginkgo biloba,02/05/2025,North,South,P1,10.78085642
Ginkgo biloba,02/05/2025,North,South,P2,11.26641651
Ginkgo biloba,02/05/2025,North,South,P3,9.320771253
Ginkgo biloba,02/05/2025,South,North,P1,9.297820823
Ginkgo biloba,02/05/2025,South,North,P2,8.006700168
Ginkgo biloba,02/05/2025,South,North,P3,8.221070812
Ginkgo biloba,02/05/2025,South,South,P1,12.57985258
Ginkgo biloba,02/05/2025,South,South,P2,9.699074074
Ginkgo biloba,02/05/2025,South,South,P3,8.834951456
Ginkgo biloba,09/05/2025,North,North,P1,11.08921162
Ginkgo biloba,09/05/2025,North,North,P2,10.34188034
Ginkgo biloba,09/05/2025,North,North,P3,10.26734104
Ginkgo biloba,09/05/2025,North,South,P1,9.329501916
Ginkgo biloba,09/05/2025,North,South,P2,10.27878788
Ginkgo biloba,09/05/2025,North,South,P3,8.962172648
Ginkgo biloba,09/05/2025,South,North,P1,12.51223491
Ginkgo biloba,09/05/2025,South,North,P2,11.8962585
Ginkgo biloba,09/05/2025,South,North,P3,11.77880184
Ginkgo biloba,09/05/2025,South,South,P1,13.62480127
Ginkgo biloba,09/05/2025,South,South,P2,12.06645898
Ginkgo biloba,09/05/2025,South,South,P3,12.4127907
Ginkgo biloba,16/05/2025,North,North,P1,6.748971193
Ginkgo biloba,16/05/2025,North,North,P2,7.428571429
Ginkgo biloba,16/05/2025,North,North,P3,6.329168462
Ginkgo biloba,16/05/2025,North,South,P1,5.901639344
Ginkgo biloba,16/05/2025,North,South,P2,5.928867403
Ginkgo biloba,16/05/2025,North,South,P3,5.643382353
Ginkgo biloba,16/05/2025,South,North,P1,9.190853122
Ginkgo biloba,16/05/2025,South,North,P2,7.133382461
Ginkgo biloba,16/05/2025,South,North,P3,6.938250429
Ginkgo biloba,16/05/2025,South,South,P1,9.49072076
Ginkgo biloba,16/05/2025,South,South,P2,9.819437069
Ginkgo biloba,16/05/2025,South,South,P3,7.854319593
Ginkgo biloba,22/05/2025,North,North,P1,9.761968441
Ginkgo biloba,22/05/2025,North,North,P2,8.548649528
Ginkgo biloba,22/05/2025,North,North,P3,9.227249619
Ginkgo biloba,22/05/2025,North,South,P1,7.752315943
Ginkgo biloba,22/05/2025,North,South,P2,7.582078022
Ginkgo biloba,22/05/2025,North,South,P3,7.301918265
Ginkgo biloba,22/05/2025,South,North,P1,7.864639884
Ginkgo biloba,22/05/2025,South,North,P2,8.540676545
Ginkgo biloba,22/05/2025,South,North,P3,9.339652449
Ginkgo biloba,22/05/2025,South,South,P1,9.797230465
Ginkgo biloba,22/05/2025,South,South,P2,8.504221954
Ginkgo biloba,22/05/2025,South,South,P3,8.013676327
Ginkgo biloba,30/05/2025,North,North,P1,11.68062686
Ginkgo biloba,30/05/2025,North,North,P2,9.489096573
Ginkgo biloba,30/05/2025,North,North,P3,12.92173171
Ginkgo biloba,30/05/2025,North,South,P1,8.265112497
Ginkgo biloba,30/05/2025,North,South,P2,8.086603518
Ginkgo biloba,30/05/2025,North,South,P3,7.990045942
Ginkgo biloba,30/05/2025,South,North,P1,6.624365482
Ginkgo biloba,30/05/2025,South,North,P2,5.866156788
Ginkgo biloba,30/05/2025,South,North,P3,6.947136564
Ginkgo biloba,30/05/2025,South,South,P1,7.122794382
Ginkgo biloba,30/05/2025,South,South,P2,7.29417429
Ginkgo biloba,30/05/2025,South,South,P3,7.503290917
Ginkgo biloba,05/06/2025,North,North,P1,8.453711093
Ginkgo biloba,05/06/2025,North,North,P2,9.394628099
Ginkgo biloba,05/06/2025,North,North,P3,8.952763819
Ginkgo biloba,05/06/2025,North,South,P1,9.882604055
Ginkgo biloba,05/06/2025,North,South,P3,9.300411523
Ginkgo biloba,05/06/2025,South,North,P1,8.319679939
Ginkgo biloba,05/06/2025,South,North,P2,6.880811496
Ginkgo biloba,05/06/2025,South,North,P3,7.897776494
Ginkgo biloba,05/06/2025,South,South,P1,7.202010531
Ginkgo biloba,05/06/2025,South,South,P2,6.954022989
Ginkgo biloba,05/06/2025,South,South,P3,7.375675676
Ginkgo biloba,13/06/2025,North,North,P1,7.596566524
Ginkgo biloba,13/06/2025,North,North,P2,8.53157572
Ginkgo biloba,13/06/2025,North,North,P3,7.136506276
Ginkgo biloba,13/06/2025,North,South,P1,4.202216997
Ginkgo biloba,13/06/2025,North,South,P2,3.242154724
Ginkgo biloba,13/06/2025,North,South,P3,4.483247651
Ginkgo biloba,13/06/2025,South,North,P1,27.52565564
Ginkgo biloba,13/06/2025,South,North,P2,24.85851575
Ginkgo biloba,13/06/2025,South,North,P3,6.697207679
Ginkgo biloba,13/06/2025,South,South,P1,5.405714286
Ginkgo biloba,13/06/2025,South,South,P2,5.961750644
Ginkgo biloba,13/06/2025,South,South,P3,6.808789767
Ginkgo biloba,20/06/2025,North,North,P1,8.240530634
Ginkgo biloba,20/06/2025,North,North,P2,8.052163113
Ginkgo biloba,20/06/2025,North,North,P3,8.576419214
Ginkgo biloba,20/06/2025,North,South,P1,7.942892872
Ginkgo biloba,20/06/2025,North,South,P2,7.250167673
Ginkgo biloba,20/06/2025,North,South,P3,7.361888537
Ginkgo biloba,20/06/2025,South,North,P1,10.85060648
Ginkgo biloba,20/06/2025,South,North,P2,16.0311284
Ginkgo biloba,20/06/2025,South,North,P3,9.731051345
Ginkgo biloba,20/06/2025,South,South,P1,14.91155378
Ginkgo biloba,20/06/2025,South,South,P2,13.58685446
Ginkgo biloba,20/06/2025,South,South,P3,12.96119289
Ginkgo biloba,25/06/2025,North,North,P1,27.93705265
Ginkgo biloba,25/06/2025,North,North,P2,27.27913729
Ginkgo biloba,25/06/2025,North,North,P3,27.67430755
Ginkgo biloba,25/06/2025,North,South,P1,20.02089864
Ginkgo biloba,25/06/2025,North,South,P2,13.54270923
Ginkgo biloba,25/06/2025,North,South,P3,22.69258254
Ginkgo biloba,25/06/2025,South,North,P1,7.838838269
Ginkgo biloba,25/06/2025,South,North,P2,8.921375921
Ginkgo biloba,25/06/2025,South,North,P3,8.964595858
Ginkgo biloba,25/06/2025,South,South,P1,13.19736842
Ginkgo biloba,25/06/2025,South,South,P2,13.26064736
Ginkgo biloba,25/06/2025,South,South,P3,12.86473233
Ginkgo biloba,04/07/2025,North,North,P1,9.7227795
Ginkgo biloba,04/07/2025,North,North,P2,6.414269275
Ginkgo biloba,04/07/2025,North,North,P3,7.323420074
Ginkgo biloba,04/07/2025,North,South,P1,6.959490214
Ginkgo biloba,04/07/2025,North,South,P2,7.431444241
Ginkgo biloba,04/07/2025,North,South,P3,8.021927821
Ginkgo biloba,04/07/2025,South,North,P1,9.385545203
Ginkgo biloba,04/07/2025,South,North,P2,9.419462289
Ginkgo biloba,04/07/2025,South,North,P3,9.404842725
Ginkgo biloba,04/07/2025,South,South,P1,8.00572309
Ginkgo biloba,04/07/2025,South,South,P2,8.022915651
Ginkgo biloba,04/07/2025,South,South,P3,8.439275088