Relative_Hg,Date,Species
6.555863343,30/04/2025,Salix fragilis
5.849056604,30/04/2025,Salix fragilis
5.683453237,30/04/2025,Salix fragilis
5.29185022,30/04/2025,Tilia tomentosa
7.888198758,30/04/2025,Tilia tomentosa
10.36271186,30/04/2025,Tilia tomentosa
30.98377376,30/04/2025,Magnolia grandiflora
36.06338297,30/04/2025,Magnolia grandiflora
35.65559079,30/04/2025,Magnolia grandiflora
42.12685983,30/04/2025,Phoenix dactylifera
32.02724796,30/04/2025,Phoenix dactylifera
36.41656246,30/04/2025,Phoenix dactylifera
10.1994302,30/04/2025,Ginkgo biloba
9.192200557,30/04/2025,Ginkgo biloba
8.811594203,30/04/2025,Ginkgo biloba
3.349494949,30/04/2025,Davidia involucrata var. vilmoriniana
3.425393172,30/04/2025,Davidia involucrata var. vilmoriniana
4.267600934,30/04/2025,Davidia involucrata var. vilmoriniana
4.916251698,30/04/2025,Carpinus betulus
5.361321404,30/04/2025,Carpinus betulus
5.472222222,30/04/2025,Carpinus betulus
8.069815195,30/04/2025,Arbutus unedo
7.949438202,30/04/2025,Arbutus unedo
7.139423077,30/04/2025,Arbutus unedo
6.08583691,30/04/2025,Sorbus hibernica
5.512820513,30/04/2025,Sorbus hibernica
4.6105919,30/04/2025,Sorbus hibernica
4.00159109,30/04/2025,Juglans nigra
4.660883281,30/04/2025,Juglans nigra
7.29397294,30/04/2025,Juglans nigra
45.58345643,30/04/2025,Wollemia nobilis
37.2698908,30/04/2025,Wollemia nobilis
25.21145975,30/04/2025,Wollemia nobilis
10.49773756,30/04/2025,Betula utilis v. jacquemontii 
8.215053763,30/04/2025,Betula utilis v. jacquemontii 
11.58458244,30/04/2025,Betula utilis v. jacquemontii 
6.278158668,30/04/2025,Ostrya carpinifolia
6.118881119,30/04/2025,Ostrya carpinifolia
5.511391178,30/04/2025,Ostrya carpinifolia
9.383429672,30/04/2025,Crataegus monogyna
10.12323944,30/04/2025,Crataegus monogyna
7.341430499,30/04/2025,Crataegus monogyna
5.499660095,30/04/2025,Alnus glutinosa
6.353017521,30/04/2025,Alnus glutinosa
7.011764706,30/04/2025,Alnus glutinosa
22.21710526,30/04/2025,Acacia melanoxylon
21.8989899,30/04/2025,Acacia melanoxylon
21.7847769,30/04/2025,Acacia melanoxylon
11.75084175,30/04/2025,Metasequoia glyptostroboides
13.72781065,30/04/2025,Metasequoia glyptostroboides
10.83557951,30/04/2025,Metasequoia glyptostroboides
8.224637681,30/04/2025,Castanea sativa
6.812227074,30/04/2025,Castanea sativa
6.853932584,30/04/2025,Castanea sativa
8.255578093,30/04/2025,Corylus avellana
5.119047619,30/04/2025,Corylus avellana
4.938271605,30/04/2025,Corylus avellana
8.93603936,30/04/2025,Aesculus indica
8.099808061,30/04/2025,Aesculus indica
7.784217566,30/04/2025,Aesculus indica
3.075766687,30/04/2025,Quercus robur
3.03649635,30/04/2025,Quercus robur
2.969581749,30/04/2025,Quercus robur
6.527472527,26/06/2025,Davidia involucrata var. vilmoriniana
7.574132492,26/06/2025,Davidia involucrata var. vilmoriniana
7.386018237,26/06/2025,Davidia involucrata var. vilmoriniana
25.19002375,26/06/2025,Salix fragilis
26.89492326,26/06/2025,Salix fragilis
23.70417193,26/06/2025,Salix fragilis
14.60469574,26/06/2025,Corylus avellana
12.99120235,26/06/2025,Corylus avellana
12.36027944,26/06/2025,Corylus avellana
5.276497696,26/06/2025,Alnus glutinosa
4.89117984,26/06/2025,Alnus glutinosa
4.752223634,26/06/2025,Alnus glutinosa
11.04298357,26/06/2025,Betula utilis v. jacquemontii 
9.296407186,26/06/2025,Betula utilis v. jacquemontii 
8.507462687,26/06/2025,Betula utilis v. jacquemontii 
21.45522388,26/06/2025,Crataegus monogyna
21.72248804,26/06/2025,Crataegus monogyna
19.96402878,26/06/2025,Crataegus monogyna
39.01401401,26/06/2025,Acacia melanoxylon
49.3756311,26/06/2025,Acacia melanoxylon
52.35899034,26/06/2025,Acacia melanoxylon
60.0043985,26/06/2025,Magnolia grandiflora
9.620689655,26/06/2025,Ginkgo biloba
10.95837705,26/06/2025,Ginkgo biloba
15.8820922,26/06/2025,Ginkgo biloba
13.44692005,26/06/2025,Juglans nigra
14.03669725,26/06/2025,Juglans nigra
13.08837209,26/06/2025,Juglans nigra
18.89670611,26/06/2025,Aesculus indica
16.78952807,26/06/2025,Aesculus indica
15.55840822,26/06/2025,Aesculus indica
7.412087912,26/06/2025,Arbutus unedo
7.844776119,26/06/2025,Arbutus unedo
5.634892719,26/06/2025,Arbutus unedo
13.13682837,26/06/2025,Quercus robur
12.65897436,26/06/2025,Quercus robur
12.69279715,26/06/2025,Quercus robur
10.45505618,26/06/2025,Carpinus betulus
6.877104377,26/06/2025,Carpinus betulus
8.41434639,26/06/2025,Carpinus betulus
13.04859644,26/06/2025,Castanea sativa
13.57334766,26/06/2025,Castanea sativa
12.83056669,26/06/2025,Castanea sativa
9.508530685,26/06/2025,Sorbus hibernica
8.923620549,26/06/2025,Sorbus hibernica
7.786774629,26/06/2025,Sorbus hibernica
27.5862069,26/06/2025,Metasequoia glyptostroboides
27.71689498,26/06/2025,Metasequoia glyptostroboides
31.31474104,26/06/2025,Metasequoia glyptostroboides
17.34793187,26/06/2025,Ostrya carpinifolia
17.06666667,26/06/2025,Ostrya carpinifolia
15.63206578,26/06/2025,Ostrya carpinifolia
46.34255129,26/06/2025,Wollemia nobilis
43.00884956,26/06/2025,Wollemia nobilis
36.53819201,26/06/2025,Wollemia nobilis
15.49263219,26/06/2025,Tilia tomentosa
14.72081218,26/06/2025,Tilia tomentosa
14.66699925,26/06/2025,Tilia tomentosa
11.65146423,26/06/2025,Phoenix dactylifera
11.42375519,26/06/2025,Phoenix dactylifera
11.74560217,26/06/2025,Phoenix dactylifera